scenario,flow_mm_yr_fire,flow_mm_yr_nofire,sed_kg_yr_fire,sed_kg_yr_nofire,nit_kg_yr_fire,nit_kg_yr_nofire,doc_kg_yr_fire,doc_kg_yr_nofire,percent,severity
100_HIGH,712.419737786022,591.698313617808,92789543.525075,59090888.2525805,165227.74015,30453.34661,874216.13270482,125528.157572,100,HIGH
100_LOW,599.649622689686,591.698313617808,66365773.743672,59090888.2525805,50119.45004,30453.34661,832933.962007707,125528.157572,100,LOW
100_MOD,659.502825840387,591.698313617808,79790635.9316419,59090888.2525805,85253.0267400001,30453.34661,1198924.90414842,125528.157572,100,MOD
10_HIGH,608.542153590958,591.698313617808,62298164.709049,59090888.2525805,41270.22318,30453.34661,244911.729782,125528.157572,10,HIGH
10_LOW,592.634212309563,591.698313617808,59559316.9758202,59090888.2525805,32214.3569,30453.34661,211228.966949,125528.157572,10,LOW
10_MOD,600.731205332216,591.698313617808,61016871.7669018,59090888.2525805,35208.56065,30453.34661,316717.71361,125528.157572,10,MOD
15_HIGH,613.851842571169,591.698313617808,63517511.3113843,59090888.2525805,44954.82183,30453.34661,278426.75648,125528.157572,15,HIGH
15_LOW,593.101167261342,591.698313617808,59747690.9044339,59090888.2525805,32992.36771,30453.34661,215450.826784,125528.157572,15,LOW
15_MOD,603.992112163907,591.698313617808,61645667.8816339,59090888.2525805,37150.70569,30453.34661,328778.561656,125528.157572,15,MOD
20_HIGH,618.331662738049,591.698313617808,64503761.774449,59090888.2525805,50291.72107,30453.34661,309306.336689,125528.157572,20,HIGH
20_LOW,593.537384657081,591.698313617808,59839038.2016202,59090888.2525805,33725.394,30453.34661,217701.973305,125528.157572,20,LOW
20_MOD,606.671974705535,591.698313617808,62188676.5745002,59090888.2525805,39639.89798,30453.34661,337366.262113,125528.157572,20,MOD
25_HIGH,622.759937826224,591.698313617808,65396452.9651718,59090888.2525805,55922.69084,30453.34661,341554.1663,125528.157572,25,HIGH
25_LOW,594.013273509686,591.698313617808,60029929.7381318,59090888.2525805,34307.9512,30453.34661,220293.706593,125528.157572,25,LOW
25_MOD,609.241306518528,591.698313617808,62772924.1575398,59090888.2525805,41620.01347,30453.34661,345966.118825,125528.157572,25,MOD
30_HIGH,626.955418649839,591.698313617808,66177140.571193,59090888.2525805,61354.49822,30453.34661,361756.039716,125528.157572,30,HIGH
30_LOW,594.372740022467,591.698313617808,60081309.9590458,59090888.2525805,34970.4769617781,30453.34661,223117.84407292,125528.157572,30,LOW
30_MOD,611.646165199949,591.698313617808,63273744.4758394,59090888.2525805,44096.47653,30453.34661,355209.484166,125528.157572,30,MOD
40_HIGH,635.439180561701,591.698313617808,67755023.3051654,59090888.2525805,69592.12322,30453.34661,400021.220482,125528.157572,40,HIGH
40_LOW,595.165454656303,591.698313617808,60340468.1571014,59090888.2525805,36359.65195,30453.34661,228863.155556,125528.157572,40,LOW
40_MOD,616.50974152007,591.698313617808,64421163.3592166,59090888.2525805,48570.69372,30453.34661,372677.575055,125528.157572,40,MOD
45_HIGH,639.858911162125,591.698313617808,68549506.9891085,59090888.2525805,73715.06773,30453.34661,418707.736829,125528.157572,45,HIGH
45_LOW,595.595457088927,591.698313617808,60466671.5750381,59090888.2525805,37056.28112,30453.34661,231218.39541,125528.157572,45,LOW
45_MOD,619.037185350893,591.698313617808,65039147.7995981,59090888.2525805,50880.48133,30453.34661,380733.255062,125528.157572,45,MOD
50_HIGH,645.837451865123,591.698313617808,69698034.6010906,59090888.2525805,80918.0795,30453.34661,442758.267786,125528.157572,50,HIGH
50_LOW,596.372916813298,591.698313617808,60668691.1907098,59090888.2525805,38657.84416,30453.34661,243818.976822,125528.157572,50,LOW
50_MOD,622.585736321618,591.698313617808,65689233.476953,59090888.2525805,54216.23698,30453.34661,410761.991859,125528.157572,50,MOD
60_HIGH,658.888731854161,591.698313617808,72203113.8286675,59090888.2525805,93160.68918,30453.34661,501568.536596,125528.157572,60,HIGH
60_LOW,597.60924769127,591.698313617808,61182662.4025171,59090888.2525805,41168.34179,30453.34661,278241.736719,125528.157572,60,LOW
60_MOD,630.120997508824,591.698313617808,67317357.2801011,59090888.2525805,60550.2278,30453.34661,493055.931977,125528.157572,60,MOD
75_HIGH,670.699065377235,591.698313617808,74381104.6545139,59090888.2525805,113348.01208,30453.34661,559185.334121,125528.157572,75,HIGH
75_LOW,599.44344411332,591.698313617808,61617767.2190035,59090888.2525805,46273.76867,30453.34661,296658.73687,125528.157572,75,LOW
75_MOD,637.87319480855,591.698313617808,68517932.1171955,59090888.2525805,74372.62208,30453.34661,539284.784513,125528.157572,75,MOD
90_HIGH,691.480476504651,591.698313617808,79368675.298295,59090888.2525805,142314.35768,30453.34661,705877.377423,125528.157572,90,HIGH
90_LOW,599.738407131996,591.698313617808,62828194.9761734,59090888.2525805,48863.2632,30453.34661,467809.274753,125528.157572,90,LOW
90_MOD,649.170832989768,591.698313617808,71931104.474567,59090888.2525805,81075.3221997538,30453.34661,777851.663053137,125528.157572,90,MOD
